,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
16,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
15,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W
14,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W
13,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L
12,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
11,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W
10,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W
9,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L
8,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
7,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W
6,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W
5,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L
4,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
3,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W
2,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W
1,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L
0,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
