,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
16,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L
15,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
14,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
13,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W
12,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L
11,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
10,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
9,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W
8,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L
7,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
6,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
5,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W
4,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L
3,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
2,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
1,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W
0,L,W,W,W,L,W,W,W,L,W,W,W,L,W,W,W,L
